Date,SVENY01,SVENY03,SVENY05,SVENY07,SVENY10,SVENY15
1981-03-01,13.714333333333334,12.810666666666668,12.65248888888889,12.58618888888889,12.536583333333333,12.497977777777779
1981-04-01,13.080186363636363,12.7672,12.704595454545455,12.677786363636363,12.657663636363635,12.642027272727272
1981-05-01,13.570280952380953,13.334357142857144,13.215442857142856,13.121,13.03502380952381,12.964980952380952
1981-06-01,15.331729999999999,14.123895,13.63425,13.413490000000001,13.247495,13.118385
1981-07-01,14.169004545454545,13.384077272727273,12.985818181818182,12.79595,12.652436363636365,12.540790909090909
1981-08-01,14.963577272727271,14.18125,13.77385,13.533977272727272,13.333745454545454,13.173231818181819
1981-09-01,15.841995238095237,14.945509523809525,14.41682857142857,14.113957142857142,13.867009523809523,13.670642857142857
1981-10-01,15.814128571428572,15.255261904761905,14.81272380952381,14.580142857142857,14.405938095238096,14.276023809523808
1981-11-01,14.744795238095238,14.69519523809524,14.48815238095238,14.388623809523809,14.37107142857143,14.44454761904762
1981-12-01,12.200388888888888,12.58756111111111,12.6826,12.73563888888889,12.860327777777778,13.199805555555555
1982-01-01,12.500386363636364,13.052,13.08779090909091,13.102268181818182,13.153159090909092,13.246122727272727
1982-02-01,13.820939999999998,14.016649999999998,13.944980000000001,13.956954999999999,14.01096,14.073905
1982-03-01,14.217833333333333,13.986905555555555,13.81308888888889,13.751188888888889,13.785538888888889,13.953422222222223
1982-04-01,13.484821739130433,13.45971304347826,13.31544347826087,13.212995652173914,13.152817391304348,13.167491304347827
1982-05-01,13.619366666666668,13.529485714285713,13.323219047619048,13.172680952380952,13.041404761904763,12.94047619047619
1982-06-01,13.081354999999999,13.178645,13.060820000000001,12.976320000000001,12.905000000000001,12.848625000000002
1982-07-01,13.63079090909091,13.793577272727275,13.691277272727273,13.6154,13.549772727272728,13.496781818181818
1982-08-01,13.051342857142856,13.401871428571429,13.364371428571427,13.305657142857141,13.245280952380952,13.193295238095237
1982-09-01,11.435104545454546,12.260490909090908,12.401463636363637,12.459363636363635,12.502545454545453,12.536127272727272
1982-10-01,10.93632380952381,11.737138095238096,11.812766666666667,11.840395238095239,11.860880952380953,11.876790476190475
1982-11-01,9.502745,10.484015,10.714255,10.81416,10.889140000000001,10.947455
1982-12-01,9.185947368421052,10.075973684210526,10.352521052631579,10.469194736842105,10.550773684210526,10.610294736842105
