TIME_PERIOD,Y3M,Y6M,Y9M,Y1Y,Y2Y,Y3Y,Y4Y,Y5Y,Y6Y,Y7Y,Y8Y,Y10Y
2015-03-01,-0.18478353518156165,-0.23223385821549333,-0.2245721444519476,-0.20666659397344356,-0.18004786096486178,-0.16958345657704504,-0.12416998597273898,-0.04841743064337854,0.04360174931451209,0.1408293270846467,0.2363401783257575,0.4090443023568634
2015-04-01,-0.20272062052042186,-0.2552257318594803,-0.250344996514447,-0.233438461963593,-0.20148110876804368,-0.18564863595914333,-0.1422507301290494,-0.07517348405072065,0.003944789670999192,0.086162367069358,0.1660241099463032,0.30878696524860966
2015-05-01,-0.2663814707750741,-0.30163123393902735,-0.29218561814081795,-0.27494904205171417,-0.23746715606279425,-0.2112024685697626,-0.16518724514094343,-0.10316275030619552,-0.03354036546229605,0.03733807254178599,0.10560149107811534,0.2272683376969049
2015-06-01,-0.2770768191776404,-0.2696994012195456,-0.26293169039745484,-0.25551153223039863,-0.20659116898793664,-0.12053049552138502,-0.006905245789605716,0.11987245181258917,0.24821882157414527,0.37072316171265307,0.48345334896894787,0.6748820787245653
2015-07-01,-0.25358491614481166,-0.2468075032873397,-0.24344692152316708,-0.24029109188212028,-0.1980745661469726,-0.09165948190508945,0.06106050165990345,0.2336047403522917,0.40644962325075107,0.5684089643683774,0.7144405210448791,0.9555971120899112
2015-08-01,-0.2618522655520142,-0.27058093955931634,-0.27682166883417336,-0.27954114556299886,-0.24788829767452636,-0.1535239188343951,-0.017090201796514107,0.14068882792441573,0.30463352013411293,0.46501465543787646,0.6161661378619823,0.8807326628382993
2015-09-01,-0.2531840747014759,-0.2689927470387038,-0.27878495669712583,-0.28309848225332856,-0.25507323055123987,-0.17369115671754556,-0.05899383987850541,0.07432547590332747,0.21567143707964598,0.3575691209869357,0.4949023423464426,0.7437896064883169
2015-10-01,-0.26577369770470266,-0.27578540574961097,-0.2810973469771677,-0.28193844237430365,-0.2459877771950155,-0.16077846811560395,-0.04323064806254415,0.09282814882680802,0.2369424732071834,0.3816046151702666,0.5216604619834865,0.7758344252654434
2015-11-01,-0.3206394780972465,-0.30988231153952167,-0.30407518576333825,-0.30073234362992474,-0.28214950758267976,-0.22537171951241583,-0.12736244363720292,-0.001598219377607163,0.13708122481468357,0.2772569167509174,0.4115760851302836,0.6488561868365118
2015-12-01,-0.3668946338914014,-0.36011818716403504,-0.3586480408449202,-0.35963140424028944,-0.3541730306084979,-0.3006448569258843,-0.19713123845881822,-0.06020283751228811,0.09247276719752505,0.2474743143682801,0.3962286073989367,0.6590113615653491
